created_at,sender,recipient,amount
1705904443,swift,disney,50
1710614015,winfrey,doja,39
1716339319,weeknd,beyonce,28
1695448979,bts,weeknd,4
1711186175,eilish,malone,29
1707097026,eilish,musk,67
1715310294,jobs,bts,86
1716387929,doja,bts,34
1691365533,weeknd,bezos,9
1711628597,buffett,musk,0
1705996395,winfrey,beyonce,12
1691597266,eilish,gates,89
1716579163,zuckerberg,beyonce,67
1691864392,malone,beyonce,14
1713165892,doja,disney,64
1699994666,gates,jobs,90
1698248635,nolan,tarantino,87
1700058596,drake,eilish,81
1700083484,zuckerberg,malone,4
1713071584,winfrey,weeknd,76
1718150305,weeknd,zuckerberg,10
1709852193,winfrey,bieber,28
1704751900,beyonce,buffett,56
1693738444,swift,bezos,78
1697666098,mars,grande,37
1705306251,gates,spielberg,22
1701914307,malone,beyonce,10
1704392060,bieber,gates,65
1694897727,tarantino,spielberg,12
1698716306,sheeran,bts,6
1698926069,doja,minaj,15
1702938632,minaj,malone,29
1702603714,buffett,bts,22
1701570221,ford,beyonce,83
1694765546,nolan,tarantino,76
1697696869,nolan,bieber,50
1709596788,malone,bieber,18
1710447603,bieber,nolan,48
1721607690,grande,bts,71
1711734854,mars,sheeran,46
1705170977,bezos,drake,17
1699602153,sheeran,bieber,97
1707407695,ford,bezos,89
1712565843,doja,beyonce,85
1698129886,eilish,tarantino,29
1696078470,beyonce,sheeran,16
1714642121,ford,disney,13
1692274220,disney,ford,54
1698579980,mars,sheeran,57
1710860631,weeknd,nolan,14
1707774823,minaj,zuckerberg,81
1708339045,bts,mars,100
1695828425,disney,minaj,61
1696436260,winfrey,jobs,53
1701674921,mars,bts,87
1701919075,eilish,zuckerberg,25
1717587201,minaj,doja,14
1707037339,disney,bts,79
1697954508,musk,ford,66
1694024600,sheeran,weeknd,54
1709573744,sheeran,bts,72
1721516354,nolan,bieber,11
1702585493,drake,disney,59
1692451103,bieber,bts,36
1692429632,swift,bezos,78
1697654401,ford,bts,97
1709486760,zuckerberg,swift,28
1704431371,gates,drake,94
1707535926,grande,bezos,12
1695688887,doja,tarantino,43
1692196438,bezos,grande,51
1692390657,zuckerberg,ford,52
1698835675,eilish,grande,47
1700613569,winfrey,spielberg,85
1690655018,grande,zuckerberg,99
1705722661,zuckerberg,gates,15
1698640138,minaj,weeknd,28
1701294795,weeknd,beyonce,92
1692804377,ford,grande,27
1715108496,musk,eilish,62
1700894790,disney,doja,26
1704604179,winfrey,doja,64
1698510698,winfrey,buffett,85
1715860900,eilish,drake,62
1699077057,buffett,doja,45
1703478578,minaj,bezos,90
1717786655,spielberg,ford,49
1719052893,beyonce,zuckerberg,93
1696789827,eilish,grande,41
1696915468,musk,zuckerberg,0
1716990564,beyonce,drake,11
1719546377,swift,doja,58
1699946925,bts,buffett,52
1696299017,zuckerberg,jobs,90
1712869463,doja,eilish,35
1705703282,tarantino,beyonce,9
1698901211,doja,ford,4
1701660198,mars,disney,40
1703914895,gates,swift,61
1716459450,gates,winfrey,29
